tid,sid,latitude,longitude,time,direction_inference,speed_inference_m_s,label
1,1,-5.778,-35.206,2004-04-14 01:31:00,0.0,0.0,NOT_FISHING
1,1,-5.778,-35.206,2004-04-14 01:44:00,0.0,0.0,NOT_FISHING
1,1,-5.778,-35.206,2004-04-14 03:16:00,0.0,0.0,NOT_FISHING
1,1,-5.778,-35.206,2004-04-14 04:08:00,0.0,0.0,NOT_FISHING
1,1,-5.778,-35.206,2004-04-14 05:52:00,4.09,0.0,NOT_FISHING
1,1,-5.7639999999999985,-35.205,2004-04-15 20:06:00,56.56,0.01,NOT_FISHING
1,1,-5.7010000000000005,-35.093,2004-04-15 21:00:00,0.5,4.39,NOT_FISHING
1,1,-5.674,-35.044000000000004,2004-04-15 21:23:00,6.24,4.49,NOT_FISHING
1,1,-5.622000000000001,-34.97,2004-04-15 22:00:00,16.75,4.52,NOT_FISHING
1,1,-5.5939999999999985,-34.948,2004-04-15 22:15:00,30.8,4.39,NOT_FISHING
1,1,-5.47,-34.931999999999995,2004-04-15 23:04:00,6.56,4.73,NOT_FISHING
1,1,-5.3260000000000005,-34.93,2004-04-16 00:00:00,0.17,4.77,NOT_FISHING
1,1,-5.207000000000002,-34.928000000000004,2004-04-16 00:47:00,0.77,4.69,NOT_FISHING
1,1,-5.174,-34.927,2004-04-16 01:00:00,2.9,4.71,NOT_FISHING
1,1,-5.1370000000000005,-34.924,2004-04-16 01:15:00,6.65,4.59,NOT_FISHING
1,1,-5.023,-34.928000000000004,2004-04-16 02:00:00,1.17,4.7,NOT_FISHING
1,1,-4.886,-34.93,2004-04-16 02:54:00,0.15,4.7,NOT_FISHING
1,1,-4.712,-34.933,2004-04-16 04:00:00,0.25,4.89,NOT_FISHING
1,1,-4.557,-34.935,2004-04-16 05:00:00,2.65,4.79,NOT_FISHING
1,1,-4.497,-34.933,2004-04-16 05:24:00,4.99,4.64,NOT_FISHING
1,1,-4.404,-34.938,2004-04-16 06:00:00,7.59,4.79,NOT_FISHING
1,1,-4.252,-34.926,2004-04-16 07:00:00,4.51,4.71,NOT_FISHING
1,1,-4.147,-34.926,2004-04-16 07:42:00,1.12,4.63,NOT_FISHING
1,1,-4.096,-34.927,2004-04-16 08:00:00,0.47,5.25,NOT_FISHING
1,1,-4.024,-34.929,2004-04-16 08:28:00,2.28,4.77,NOT_FISHING
1,1,-3.941,-34.928000000000004,2004-04-16 09:00:00,3.87,4.81,NOT_FISHING
1,1,-3.905,-34.93,2004-04-16 09:15:00,4.21,4.45,NOT_FISHING
1,1,-3.794,-34.928000000000004,2004-04-16 10:00:00,1.03,4.57,NOT_FISHING
1,1,-3.66,-34.928000000000004,2004-04-16 11:00:00,3.88,4.14,NOT_FISHING
1,1,-3.6010000000000004,-34.931999999999995,2004-04-16 11:35:00,5.7,3.13,NOT_FISHING
1,1,-3.5380000000000003,-34.93,2004-04-16 12:00:00,0.78,4.67,NOT_FISHING
1,1,-3.483,-34.929,2004-04-16 12:23:00,2.0,4.43,NOT_FISHING
1,1,-3.389,-34.924,2004-04-16 13:00:00,1.45,4.71,NOT_FISHING
1,1,-3.353,-34.923,2004-04-16 13:15:00,1.4,4.45,NOT_FISHING
1,1,-3.238,-34.917,2004-04-16 14:00:00,2.51,4.74,NOT_FISHING
1,1,-3.117,-34.916,2004-04-16 14:48:00,0.47,4.67,NOT_FISHING
